"","Tank","Location","Treatment","Source","Combined","Shannon"
"1-9A-Ant","9A","Anterior","9","Toadfish","Anterior_9",0.753294223297916
"10-36B-Fluid","35B","Fluid","35","Toadfish","Fluid_35",1.48100753038057
"11-QC-Post","QC","Posterior","QC","Toadfish","Posterior_QC",0.977971822797106
"12-60C-Ant","60C","Anterior","60","Toadfish","Anterior_60",1.06696080667808
"13-35A-Ant","35A","Anterior","35","Toadfish","Anterior_35",0.276786963799993
"14-35B-Ant","35B","Anterior","35","Toadfish","Anterior_35",1.69098861296656
"15-9B-Ant","9B","Anterior","9","Toadfish","Anterior_9",0.520918360062761
"16-9B-Post","9B","Posterior","9","Toadfish","Posterior_9",1.02005136392773
"17-35B-Prec","35B","Precipitates","35","Toadfish","Precipitates_35",0.867369034039185
"18-35B-Post","35B","Posterior","35","Toadfish","Posterior_35",1.5942878197504
"19-35A-Prec","35A","Precipitates","35","Toadfish","Precipitates_35",1.50035336104886
"2-60C-Prec","60C","Precipitates","60","Toadfish","Precipitates_60",1.58624740466648
"20-35C-Post","35C","Posterior","35","Toadfish","Posterior_35",0.631193129274827
"21-60A-Prec","60A","Precipitates","60","Toadfish","Precipitates_60",1.52036195941667
"22-60B-Post","60B","Posterior","60","Toadfish","Posterior_60",0.161191971581906
"23-9A-Post","9A","Posterior","9","Toadfish","Posterior_9",0.853432088353069
"24-60B-Ant","60B","Anterior","60","Toadfish","Anterior_60",0.162923666465313
"25-35C-Ant","35C","Anterior","35","Toadfish","Anterior_35",0.289694124390222
"26-9C-Ant","9C","Anterior","9","Toadfish","Anterior_9",0.412815485052203
"27-9C-Fluid","9C","Fluid","9","Toadfish","Fluid_9",1.83670300193133
"29-4-60B-Water","4-60B","Water","60","Water","Water_60",4.15762402693987
"3-60A-Post","60A","Posterior","60","Toadfish","Posterior_60",1.20844960956348
"30-1-35A-Water","1-35A","Water","35","Water","Water_35",4.05342720922717
"31-3-9A-Water","3-9A","Water","9","Water","Water_9",3.33629065475083
"32-8-60C-Water","8-60C","Water","60","Water","Water_60",4.02013817604093
"33-2-60A-Water","2-60A","Water","60","Water","Water_60",3.94575858810913
"34-6-9B-Water","6-9B","Water","9","Water","Water_9",3.2328546998816
"4-60B-Prec","60B","Precipitates","60","Toadfish","Precipitates_60",1.73576288120557
"40-35C-Fluid","35C","Fluid","35","Toadfish","Fluid_35",0.583873389385174
"42-35A-Fluid","35A","Fluid","35","Toadfish","Fluid_35",1.07541049001094
"43-9B-Fluid","9B","Fluid","9","Toadfish","Fluid_9",1.14343817308449
"5-36A-Post","35A","Posterior","35","Toadfish","Posterior_35",0.917367772830964
"6-9A-Fluid","9A","Fluid","9","Toadfish","Fluid_9",1.0944895936034
"7-60C-Post","60C","Posterior","60","Toadfish","Posterior_60",0.777476881954917
"8-60B-Fluid","60B","Fluid","60","Toadfish","Fluid_60",1.90704057723317
"9-60A-Ant","60A","Anterior","60","Toadfish","Anterior_60",0.963284664944025
